1,1583,1013,211,213,9,130,101,80,32,26,85,69,136,37,15,87,19,51
1668,5,316,105,267,24,49,227,208,13,13,22,17,357,11,118,54,80,37
508,353,0,287,197,10,14,19,15,6,6,10,6,108,2,12,14,4,2
163,131,117,0,211,8,4,12,23,6,3,3,7,44,8,3,5,1,2
199,329,100,74,1,3,10,13,21,5,3,2,1,243,13,15,19,9,0
9,24,14,5,2,0,4,2,3,0,0,0,1,1,0,1,0,1,1
145,40,18,4,7,4,0,61,19,2,0,29,34,3,4,1,12,7,63
109,192,18,7,7,5,93,1,15,3,2,6,14,16,0,12,4,36,66
91,182,21,17,14,3,13,20,0,3,9,3,4,15,65,30,18,25,4
28,13,3,9,5,1,4,1,1,0,12,4,1,2,0,0,1,0,0
32,9,8,1,3,1,2,0,10,4,0,7,1,0,24,1,1,0,1
65,28,11,4,3,0,28,3,4,3,2,0,25,6,2,1,6,3,8
65,13,11,2,2,0,47,15,8,4,0,15,0,1,1,0,3,1,10
146,459,54,32,139,1,3,14,18,1,0,4,4,0,1,43,7,10,5
45,9,1,5,2,0,6,4,58,0,28,4,0,10,0,5,10,4,0
30,111,7,5,8,0,1,1,39,0,0,1,5,39,9,0,2,8,2
72,50,16,4,11,1,8,6,16,2,0,1,6,11,10,5,0,7,8
25,82,5,1,7,1,5,51,10,0,0,4,0,6,6,9,3,0,18
44,39,3,0,0,0,59,71,6,0,0,5,10,3,0,1,8,21,0
